"Country.of.Origin","Number.of.Bags","Bag.Weight","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Cupper.Points","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Category.Two.Defects"
"Ethiopia",300,"60 kg","Washed / Wet",8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,0,0,0
"Ethiopia",300,"60 kg","Washed / Wet",8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,0,0,1
"Ethiopia",320,"60 kg","Natural / Dry",8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,0,0,2
"Ethiopia",300,"60 kg","Washed / Wet",8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,0,0,2
"Brazil",100,"30 kg","Natural / Dry",8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,0,0,1
"Peru",100,"69 kg","Washed / Wet",8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,0,0,0
"Ethiopia",50,"60 kg","Natural / Dry",8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,0,0,4
"Ethiopia",300,"60 kg","Natural / Dry",8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,0,0,1
"United States",10,"1 kg","Washed / Wet",8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0,0,0,0
"United States",10,"1 kg","Washed / Wet",8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,0,0,0
"United States",10,"1 kg","Washed / Wet",8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0,0,0,0
"China",3,"60 kg","Washed / Wet",8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,0,0,0
"Ethiopia",250,"60 kg","Natural / Dry",8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,0,0,8
"United States",10,"1 kg","Washed / Wet",8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0,0,0,0
"Costa Rica",250,"3 lbs","Washed / Wet",8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,0,0,2
"Mexico",14,"1 kg","Washed / Wet",8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,0,0,0
"United States",10,"1 kg","Washed / Wet",8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,0,0,0
"Ethiopia",100,"60 kg","Natural / Dry",8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11,0,0,1
"Brazil",3,"60 kg","Natural / Dry",8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,0,0,2
"Uganda",100,"60 kg","Washed / Wet",8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12,0,0,1
"Taiwan",20,"50 kg","Pulped natural / honey",8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0,0,0,0
"Tanzania, United Republic Of",100,"60 kg","Natural / Dry",8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11,0,0,1
"Brazil",29,"60 kg","Natural / Dry",8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,0,0,2
"Costa Rica",250,"2 lbs","Washed / Wet",8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0,0,0,0
"Ethiopia",320,"60 kg","Natural / Dry",8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1,0,0,3
"Kenya",320,"1 kg","Washed / Wet",8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12,0,0,1
"United States (Hawaii)",10,"100 lbs","Natural / Dry",8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0,1,0,4
"United States",10,"1 kg","Washed / Wet",7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0,0,0,0
"Thailand",53,"1 kg","Washed / Wet",7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1,1,0,9
"Taiwan",10,"15 kg","Semi-washed / Semi-pulped",8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12,0,0,0
"Kenya",12,"60 kg","Natural / Dry",8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,0.11,0,0,2
